,URINARY_TRACT,KIDNEY,OVARY,SKIN,KIDNEY,AUTONOMIC_GANGLIA,AUTONOMIC_GANGLIA,AUTONOMIC_GANGLIA,CENTRAL_NERVOUS_SYSTEM,CENTRAL_NERVOUS_SYSTEM,SKIN,PLEURA,OVARY,KIDNEY,LARGE_INTESTINE,AUTONOMIC_GANGLIA,KIDNEY,LIVER,SOFT_TISSUE,BONE,BONE,KIDNEY,CENTRAL_NERVOUS_SYSTEM,SKIN,OESOPHAGUS,CENTRAL_NERVOUS_SYSTEM,CENTRAL_NERVOUS_SYSTEM,URINARY_TRACT,LIVER,OVARY,LARGE_INTESTINE,PANCREAS,STOMACH,LARGE_INTESTINE,ENDOMETRIUM,OVARY,CENTRAL_NERVOUS_SYSTEM,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LIVER,OVARY,LIVER,BREAST,OVARY,OVARY,CENTRAL_NERVOUS_SYSTEM,SOFT_TISSUE,CENTRAL_NERVOUS_SYSTEM,LUNG,ENDOMETRIUM,LUNG,BONE,SOFT_TISSUE,ENDOMETRIUM,ENDOMETRIUM,ENDOMETRIUM,CENTRAL_NERVOUS_SYSTEM,CENTRAL_NERVOUS_SYSTEM,LUNG,AUTONOMIC_GANGLIA,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,URINARY_TRACT,SOFT_TISSUE,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KIDNEY,CENTRAL_NERVOUS_SYSTEM,CENTRAL_NERVOUS_SYSTEM,LIVER,LIVER,LIVER,LUNG,LUNG,OVARY,KIDNEY,LARGE_INTESTINE,OVARY,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,KIDNEY,ENDOMETRIUM,STOMACH,ENDOMETRIUM,ENDOMETRIUM,BREAST,OVARY,OVARY,LARGE_INTESTINE,OVARY,BONE,CENTRAL_NERVOUS_SYSTEM,LIVER,OVARY,LUNG,PANCREAS,URINARY_TRACT,LIVER,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CENTRAL_NERVOUS_SYSTEM,KIDNEY,CENTRAL_NERVOUS_SYSTEM,CENTRAL_NERVOUS_SYSTEM,CENTRAL_NERVOUS_SYSTEM,LIVER,CENTRAL_NERVOUS_SYSTEM,URINARY_TRACT,LUNG,OESOPHAGUS,CENTRAL_NERVOUS_SYSTEM,CENTRAL_NERVOUS_SYSTEM,PLEURA,OVARY,UPPER_AERODIGESTIVE_TRACT,SOFT_TISSUE,URINARY_TRACT,CENTRAL_NERVOUS_SYSTEM,CENTRAL_NERVOUS_SYSTEM,URINARY_TRACT,OESOPHAGUS,CENTRAL_NERVOUS_SYSTEM,URINARY_TRACT,CENTRAL_NERVOUS_SYSTEM,CENTRAL_NERVOUS_SYSTEM,BREAST,OVARY,OVARY,LUNG,OVARY,LARGE_INTESTINE,KIDNEY,URINARY_TRACT,STOMACH,OESOPHAGUS,LUNG,PANCREAS,PANCREAS,PANCREAS,OESOPHAGUS,PANCREAS,UPPER_AERODIGESTIVE_TRACT,BREAST,PLEURA,KIDNEY,PANCREAS,LARGE_INTESTINE,LARGE_INTESTINE,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,PANCREAS,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LUNG,LUNG,LUNG,LUNG,PANCREAS,AUTONOMIC_GANGLIA,BONE,LARGE_INTESTINE,LARGE_INTESTINE,PANCREAS,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LARGE_INTESTINE,LARGE_INTESTINE,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BONE,OESOPHAGUS,LUNG,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LUNG,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BONE,LUNG,OVARY,UPPER_AERODIGESTIVE_TRACT,BONE,BREAST,BREAST,BREAST,CENTRAL_NERVOUS_SYSTEM,OVARY,BREAST,BREAST,LUNG,SKIN,CENTRAL_NERVOUS_SYSTEM,LARGE_INTESTINE,UPPER_AERODIGESTIVE_TRACT,PANCREAS,URINARY_TRACT,STOMACH,PANCREAS,STOMACH,LUNG,LUNG,LUNG,URINARY_TRACT,SKIN,UPPER_AERODIGESTIVE_TRACT,CENTRAL_NERVOUS_SYSTEM,ENDOMETRIUM,LIVER,UPPER_AERODIGESTIVE_TRACT,PLEURA,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LUNG,CERVIX,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CENTRAL_NERVOUS_SYSTEM,THYROID,PLEURA,AUTONOMIC_GANGLIA,AUTONOMIC_GANGLIA,SOFT_TISSUE,AUTONOMIC_GANGLIA,CENTRAL_NERVOUS_SYSTEM,AUTONOMIC_GANGLIA,AUTONOMIC_GANGLIA,AUTONOMIC_GANGLIA,SOFT_TISSUE,STOMACH,CENTRAL_NERVOUS_SYSTEM,SOFT_TISSUE,PANCREAS,BREAST,CENTRAL_NERVOUS_SYSTEM,SOFT_TISSUE,SKIN,SKIN,PANCREAS,OESOPHAGUS,BREAST,LUNG,LARGE_INTESTINE,BREAST,OVARY,OVARY,CENTRAL_NERVOUS_SYSTEM,OVARY,LUNG,URINARY_TRACT,LUNG,LUNG,PANCREAS,STOMACH,LUNG,PANCREAS,OVARY,LARGE_INTESTINE,OVARY,STOMACH,LARGE_INTESTINE,PANCREAS,LUNG,KIDNEY,PANCREAS,URINARY_TRACT,UPPER_AERODIGESTIVE_TRACT,BREAST,LUNG,ENDOMETRIUM,BREAST,OESOPHAGUS,LUNG,LUNG,LUNG,OVARY,UPPER_AERODIGESTIVE_TRACT,LARGE_INTESTINE,CENTRAL_NERVOUS_SYSTEM,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,UPPER_AERODIGESTIVE_TRACT,UPPER_AERODIGESTIVE_TRACT,URINARY_TRACT,LUNG,PANCREAS,LUNG,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LUNG,LUNG,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,BREAST,OVARY,PLEURA,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,LARGE_INTESTINE,SKIN,LUNG,LARGE_INTESTINE,OVARY,AUTONOMIC_GANGLIA,SKIN,UPPER_AERODIGESTIVE_TRACT,LUNG,STOMACH,LUNG,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,STOMACH,OESOPHAGUS,BREAST,BREAST,LARGE_INTESTINE,KIDNEY,LUNG,LUNG,OESOPHAGUS,STOMACH,KIDNEY,SOFT_TISSUE,URINARY_TRACT,BREAST,CENTRAL_NERVOUS_SYSTEM,CENTRAL_NERVOUS_SYSTEM,UPPER_AERODIGESTIVE_TRACT,BREAST,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CENTRAL_NERVOUS_SYSTEM,STOMACH,LUNG,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,OESOPHAGUS,KIDNEY,ENDOMETRIUM,PANCREAS,URINARY_TRACT,SOFT_TISSUE,LUNG,PANCREAS,LUNG,LUNG,OVARY,LUNG,LUNG,KIDNEY,UPPER_AERODIGESTIVE_TRACT,BREAST,ENDOMETRIUM,UPPER_AERODIGESTIVE_TRACT,URINARY_TRACT,URINARY_TRACT,ENDOMETRIUM,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SKIN,SKIN,ENDOMETRIUM,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,SOFT_TISSUE,SOFT_TISSUE,SOFT_TISSUE,SOFT_TISSUE,LIVER,OESOPHAGUS,KIDNEY,UPPER_AERODIGESTIVE_TRACT,SKIN,SKIN,KIDNEY,SOFT_TISSUE,OVARY,OVARY,OVARY,SKIN,SKIN,SKIN,SKIN,SKIN,SKIN,SKIN,SKIN,LUNG,SKIN,SKIN,SKIN,SKIN,KIDNEY,SKIN,SKIN,OVARY,LUNG,URINARY_TRACT,OESOPHAGUS,CENTRAL_NERVOUS_SYSTEM,BONE,URINARY_TRACT,URINARY_TRACT,OESOPHAGUS,LUNG,BREAST,LUNG,LARGE_INTESTINE,OVARY,LIVER,BREAST,HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,CENTRAL_NERVOUS_SYSTEM,CENTRAL_NERVOUS_SYSTEM,SOFT_TISSUE,SKIN,AUTONOMIC_GANGLIA,LARGE_INTESTINE,BREAST,LARGE_INTESTINE,AUTONOMIC_GANGLIA,LARGE_INTESTINE,LARGE_INTESTINE,LARGE_INTESTINE,OVARY,LARGE_INTESTINE,CENTRAL_NERVOUS_SYSTEM,UPPER_AERODIGESTIVE_TRACT,SOFT_TISSUE,BREAST,BREAST,ENDOMETRIUM,ENDOMETRIUM,CENTRAL_NERVOUS_SYSTEM,LIVER,STOMACH,CENTRAL_NERVOUS_SYSTEM,PANCREAS,BONE,BONE,LUNG,BREAST,CENTRAL_NERVOUS_SYSTEM,LUNG
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
